name,rating,ctype,highly_rated
Muthoot Finance,3.8,NBFC,Job Security
DMart,3.9,Retail,"Job Security, Company Culture"
eClerx,3.0,IT Services & Consulting,"Promotions, Salary, Work Satisfaction"
IIFL Finance,4.0,NBFC,"Work Life Balance, Company Culture, Skill Development"
PolicyBazaar,3.7,Internet,Salary
Indian Army,4.7,Defence & Aerospace,"Job Security, Company Culture, Work Life Balance"
Indiamart Intermesh,3.6,Internet,"Work Satisfaction, Promotions, Company Culture"
Piramal Finance,4.2,NBFC,"Company Culture, Work Life Balance, Skill Development"
Virtusa Consulting Services,3.6,IT Services & Consulting,"Promotions, Job Security, Salary"
SMFG India Credit,3.9,NBFC,Salary
HSBC Group,3.8,Financial Services,"Work Life Balance, Company Culture, Job Security"
Access Healthcare,3.7,BPO,"Promotions, Work Satisfaction, Skill Development"
bigbasket,3.9,Internet,Job Security
Manappuram Finance,3.9,NBFC,"Work Life Balance, Skill Development"
GlobalLogic,3.5,IT Services & Consulting,"Promotions, Salary, Work Satisfaction"
Swiggy,3.7,Internet,"Job Security, Promotions, Work Life Balance"
HCL Group,3.5,IT Services & Consulting,"Promotions, Salary, Work Satisfaction"
Firstsource Solutions,3.4,BPO,"Promotions, Salary, Company Culture"
ICICI Lombard General Insurance Company,3.5,Insurance,"Promotions, Work Satisfaction, Company Culture"
Siemens,4.0,Industrial Automation,"Work Life Balance, Job Security, Company Culture"
Apollo Hospitals,4.0,Healthcare,"Job Security, Skill Development, Company Culture"
Tata Capital,4.0,NBFC,"Job Security, Skill Development, Company Culture"
Shapoorji Pallonji Group,4.1,Engineering & Construction,"Job Security, Company Culture, Work Life Balance"
Aurobindo Pharma,4.0,Pharma,"Job Security, Salary, Work Life Balance"
UST,3.7,IT Services & Consulting,Work Life Balance
Mahindra Finance,3.8,NBFC,Promotions
Standard Chartered,3.6,Banking,"Promotions, Work Satisfaction, Salary"
Bosch Global Software Technologies,3.7,IT Services & Consulting,"Work Life Balance, Company Culture, Job Security"
Ashok Leyland,4.0,Automobile,"Skill Development, Company Culture, Work Life Balance"
Hero MotoCorp,4.0,Automobile,"Work Life Balance, Company Culture, Work Satisfaction"
Citicorp,3.6,Financial Services,Salary
Udaan,3.9,Internet,"Salary, Skill Development"
CGI Inc,4.0,IT Services & Consulting,"Work Life Balance, Job Security, Company Culture"
NTT DATA,3.8,IT Services & Consulting,"Work Life Balance, Job Security"
Kalpataru Projects International,4.1,Engineering & Construction,"Job Security, Skill Development, Salary"
SBI Cards & Payment Services,3.6,Financial Services,"Promotions, Work Satisfaction, Company Culture"
Nagarjuna Construction Company,4.0,Construction,"Job Security, Skill Development"
IQVIA,3.7,Clinical Research,Work Life Balance
Schneider Electric,4.1,Industrial Automation,"Company Culture, Work Life Balance, Job Security"
BNY,3.6,Financial Services,Work Life Balance
Cyient,3.6,IT Services & Consulting,"Promotions, Salary, Skill Development"
CBRE,4.1,Real Estate,"Company Culture, Work Life Balance, Job Security"
SBI Life Insurance Company,3.7,Insurance,Job Security
TVS Motor,3.8,Automobile,"Skill Development, Salary"
JustDial,3.5,Internet,"Promotions, Work Satisfaction, Job Security"
Persistent Systems,3.6,IT Services & Consulting,"Promotions, Job Security, Work Satisfaction"
State Bank of India,3.9,Banking,"Job Security, Skill Development, Salary"
KEC International,4.0,Engineering & Construction,"Job Security, Salary, Work Life Balance"
ITC Infotech,3.8,IT Services & Consulting,"Work Life Balance, Job Security"
Utkarsh Small Finance Bank,3.6,Banking,"Promotions, Company Culture, Work Satisfaction"
Amdocs,3.6,Software Product,"Promotions, Job Security, Work Satisfaction"
Varun Beverages,3.9,Beverage,"Job Security, Work Life Balance"
Lenskart,3.4,Internet,"Promotions, Company Culture, Work Life Balance"
Atos,3.8,IT Services & Consulting,Work Life Balance
vivo,4.0,Consumer Electronics & Appliances,"Company Culture, Skill Development, Work Life Balance"
JBM Group,3.9,Auto Components,"Job Security, Skill Development"
Hetero,3.9,Pharma,"Job Security, Work Life Balance"
Randstad,3.7,Recruitment,"Promotions, Job Security, Work Satisfaction"
Intas Pharmaceuticals,4.1,Pharma,"Job Security, Salary, Work Life Balance"
L&T Finance,3.9,NBFC,Salary
Havells,3.9,Electrical Equipment,"Work Life Balance, Salary"
Ecom Express,4.1,Logistics,"Work Life Balance, Work Satisfaction, Salary"
Aditya Birla Fashion and Retail,4.1,Fashion & Textile,"Job Security, Skill Development, Company Culture"
Tata AIA Life Insurance,3.8,Insurance,"Job Security, Skill Development"
Bosch,4.1,Auto Components,"Work Life Balance, Company Culture, Skill Development"
R1 RCM,3.8,BPO,Job Security
EY Global Delivery Services ( EY GDS),3.4,IT Services & Consulting,"Promotions, Work Satisfaction, Work Life Balance"
Nagarro,3.8,IT Services & Consulting,"Work Life Balance, Company Culture"
Berger Paints,3.7,Chemicals,"Promotions, Company Culture, Work Life Balance"
Cars24,3.4,Internet,"Job Security, Promotions, Company Culture"
Hewlett Packard Enterprise,4.1,IT Services & Consulting,"Work Life Balance, Company Culture, Work Satisfaction"
Eviden,3.6,IT Services & Consulting,Work Life Balance
Mahindra Logistics,3.7,Logistics,"Promotions, Salary"
Dell,3.8,Consumer Electronics & Appliances,Work Life Balance
TeamLease Services,3.9,Recruitment,Work Life Balance
Deutsche Bank,3.8,Banking,"Work Life Balance, Job Security, Company Culture"
VE Commercial Vehicles,3.9,Automobile,"Job Security, Company Culture, Work Life Balance"
Home Credit Finance,4.0,NBFC,"Work Life Balance, Company Culture, Skill Development"
Motilal Oswal Financial Services,3.6,Financial Services,"Promotions, Work Satisfaction, Work Life Balance"
