name,rating,ctype,highly_rated
Concord Biotech,3.8,Pharma,"Job Security, Work Life Balance"
Mobileum,3.2,Software Product,"Promotions, Skill Development, Work Satisfaction"
Pranav Vikas India Private Limited,3.8,Automobile,Work Life Balance
Methodex,4.0,Law Enforcement & Security,"Job Security, Work Life Balance, Work Satisfaction"
Intelliswift - An LTTS Company,3.2,IT Services & Consulting,"Job Security, Promotions, Skill Development"
Captain Steel India Limited,3.7,Iron & Steel,Salary
Sj Contracts,4.2,Engineering & Construction,"Job Security, Skill Development, Company Culture"
JUSTO Realfintech,4.3,Real Estate,"Skill Development, Company Culture, Work Life Balance"
AgreeYa Solutions,3.1,IT Services & Consulting,"Promotions, Skill Development, Job Security"
JBS Enterprises,3.1,Electronics Manufacturing,"Promotions, Salary, Company Culture"
Hathi Cement,4.1,Building Material,"Job Security, Work Life Balance, Company Culture"
Vidal Health Tpa,3.3,Insurance,"Promotions, Salary, Skill Development"
ANTOLIN,3.7,Auto Components,"Promotions, Skill Development, Salary"
Jaguar Security Services,4.5,Law Enforcement & Security,"Salary, Company Culture, Work Life Balance"
Amri Hospital,4.0,Healthcare,"Job Security, Skill Development, Company Culture"
T&M Services consulting,3.7,Recruitment,"Promotions, Job Security, Company Culture"
doodleblue innovation,4.2,IT Services & Consulting,"Skill Development, Company Culture, Work Life Balance"
Gufic Biosciences Limited,3.2,Pharma,"Promotions, Company Culture, Work Satisfaction"
Accel Frontline,4.3,IT Services & Consulting,"Work Satisfaction, Skill Development, Company Culture"
Light Microfinance,3.8,NBFC,"Salary, Work Life Balance"
Data-Core Systems,3.0,IT Services & Consulting,"Promotions, Skill Development, Salary"
World Vision,4.1,Non-Profit,"Work Satisfaction, Company Culture, Work Life Balance"
Jawahar Navodaya Vidyalaya,4.4,Education & Training,"Work Life Balance, Work Satisfaction, Skill Development"
Alfanar,4.0,Electronics Manufacturing,"Work Life Balance, Salary, Job Security"
Sleek International,3.6,Furniture & Furnishing,Job Security
VGM Consultants,3.4,BPO,"Promotions, Salary, Company Culture"
Moolchand Hospital,4.1,Healthcare,"Company Culture, Work Life Balance, Skill Development"
Toyota Financial Services,3.6,Financial Services,"Promotions, Work Satisfaction, Salary"
Civica India,3.0,IT Services & Consulting,"Job Security, Promotions, Salary"
Parul University,3.2,Education & Training,"Promotions, Salary, Work Satisfaction"
Hygienic Research Institute,3.8,Beauty & Personal Care,Work Life Balance
Apcer Life Sciences,3.5,Pharma,"Promotions, Company Culture, Work Satisfaction"
Sharda University,3.7,Education & Training,"Promotions, Salary"
Versuni India Home Solutions,3.3,Consumer Electronics & Appliances,"Promotions, Job Security, Company Culture"
Vee Healthtek,3.8,BPO,"Job Security, Company Culture"
TRL Krosaki Refractories,3.9,Metals & Mining,"Job Security, Work Life Balance"
DCM Shriram Industries,4.1,Chemicals,"Work Life Balance, Job Security, Salary"
Vaibhav Global,3.3,Jewellery,"Promotions, Job Security, Company Culture"
Choice Consultancy Services,3.5,Management Consulting,"Job Security, Promotions, Company Culture"
Heavy Engineering Industries & Shipbuilding,3.9,Engineering & Construction,"Salary, Work Life Balance, Work Satisfaction"
Cashpor Micro Credit,3.5,NBFC,"Promotions, Company Culture, Work Satisfaction"
Eisai Pharmaceuticals,4.0,Healthcare,"Work Life Balance, Company Culture"
Subway,4.1,Hospitality,"Company Culture, Work Life Balance, Work Satisfaction"
QUADRANT TECHNOLOGIES INDIA PRIVATE LIMITED,3.6,IT Services & Consulting,"Job Security, Promotions, Company Culture"
AQuity Solutions India,3.6,IT Services & Consulting,"Promotions, Work Satisfaction, Job Security"
Kirloskar Toyota Textile Machinery,4.5,Industrial Machinery,"Company Culture, Work Life Balance, Job Security"
Vedant Fashions,3.9,Fashion & Textile,"Work Life Balance, Company Culture"
Foundit,3.2,Hyderabad +15 other locations,"Promotions, Job Security, Work Satisfaction"
Endava,3.4,IT Services & Consulting,"Job Security, Promotions, Skill Development"
Uneecops Technologies,3.7,IT Services & Consulting,Job Security
Runwal Group,3.9,Real Estate,"Work Life Balance, Job Security, Salary"
Transact Global,4.6,BPO,"Company Culture, Work Life Balance, Job Security"
SiliconIndia,2.7,Printing & Publishing,"Company Culture, Work Life Balance, Job Security"
ATLBattery Technology (India) Private Limited,3.7,Electrical Equipment,Salary
Xdbs,2.6,Marketing & Advertising,"Promotions, Work Satisfaction, Skill Development"
Vectus Industries,4.1,Petrochemicals,"Company Culture, Work Life Balance, Salary"
Srei Equipment Finance,4.2,Financial Services,"Work Life Balance, Company Culture, Work Satisfaction"
New Opportunity Consultancy,4.0,Recruitment,"Work Life Balance, Company Culture, Work Satisfaction"
Labournet Services,3.6,Non-Profit,"Promotions, Job Security, Salary"
Hitachi Vantara,3.6,IT Services & Consulting,Work Life Balance
Department of Agriculture,4.3,Agriculture,"Work Life Balance, Company Culture, Work Satisfaction"
Andromeda Sales ans Distribution PVT LTD,3.2,Internet,"Promotions, Job Security, Salary"
Amoli Organics,3.9,Pharma,"Work Life Balance, Job Security"
Kaddacon Systems,4.6,IT Services & Consulting,"Company Culture, Work Life Balance, Work Satisfaction"
Evolent Health International,3.9,Software Product,"Work Life Balance, Company Culture, Work Satisfaction"
MCM Telecom Equipment,3.9,Electronics Manufacturing,"Skill Development, Work Life Balance, Work Satisfaction"
Gujarat Alkalies & Chemicals,4.6,Chemicals,"Work Life Balance, Company Culture, Job Security"
Lalitha Jewellery,4.1,Jewellery,"Job Security, Work Life Balance, Work Satisfaction"
Escon Elevators,3.8,Industrial Machinery,Promotions
METRO Global Solutions Center,3.5,IT Services & Consulting,Work Life Balance
K L University,3.8,Education & Training,Promotions
Offshoot Agency,3.3,IT Services & Consulting,"Promotions, Salary, Job Security"
Lobo Staffing Solutions,4.1,Recruitment,"Work Life Balance, Company Culture, Work Satisfaction"
TCI Supply Chain Solutions,4.0,Logistics,"Job Security, Skill Development, Company Culture"
Priya Cement,4.1,Building Material,"Job Security, Work Life Balance, Company Culture"
SOTC Travel Limited,4.3,Travel & Tourism,"Company Culture, Job Security, Skill Development"
Sarvagram Fincare,3.8,NBFC,"Salary, Skill Development"
Duroflex,3.9,Furniture & Furnishing,Work Life Balance
Balrampur Chini Mills Limited,4.1,Food Processing,"Salary, Skill Development, Work Satisfaction"
Zara,3.5,Fashion & Textile,"Promotions, Work Life Balance, Work Satisfaction"
Aquasub Engineering,3.8,Industrial Machinery,"Promotions, Job Security, Salary"
Sri Aurobindo Society,3.7,Non-Profit,Work Life Balance
TMF Group,3.8,Financial Services,"Work Life Balance, Company Culture, Job Security"
Pharmarack Technologies,3.6,Pharma,"Promotions, Job Security, Company Culture"
Kokuyo Camlin,3.9,FMCG,"Job Security, Work Life Balance, Company Culture"
Swiss Re,3.8,Insurance,"Work Life Balance, Company Culture"
Oil India,4.2,Oil & Gas,"Company Culture, Work Life Balance, Work Satisfaction"
Mobiloitte Technologies,3.1,IT Services & Consulting,"Company Culture, Job Security, Salary"
Tribhovandas Bhimji Zaveri,3.9,Metals & Mining,"Work Life Balance, Job Security, Salary"
Borosil Glass Works,3.8,Packaging,"Promotions, Work Satisfaction"
Royal Orchid Hotels,3.9,Hospitality,"Work Life Balance, Job Security, Skill Development"
Wildcraft,3.5,Fashion & Textile,"Promotions, Salary, Company Culture"
Planetcast,3.5,Media & Entertainment,Job Security
A-1 Fence Products,3.9,Building Material,"Company Culture, Skill Development, Job Security"
Glaze Trading India,4.2,Retail,"Skill Development, Company Culture, Work Satisfaction"
Rio Tinto,3.5,Metals & Mining,Salary
Toshiba Transmission & Distribution Systems,3.9,Electrical Equipment,"Job Security, Work Life Balance, Salary"
Seth M R Jaipuria School,3.5,Education & Training,"Promotions, Company Culture, Job Security"
Caparo Maruti,4.0,Auto Components,"Work Life Balance, Company Culture, Work Satisfaction"
Emami Paper Mills,4.1,Pulp & Paper,"Job Security, Work Life Balance, Skill Development"
Toshiba Transmission & Distribution Systems,3.9,Electrical Equipment,"Job Security, Work Life Balance, Salary"
Zebronics,3.9,Consumer Electronics & Appliances,"Job Security, Work Life Balance, Work Satisfaction"
Red Tape,3.3,Fashion & Textile,"Job Security, Promotions, Company Culture"
R.K.M Powergen,3.9,Power,"Work Life Balance, Work Satisfaction"
Sequel Logistics,3.9,Logistics,"Job Security, Work Life Balance"
Yubi,4.2,FinTech,"Salary, Skill Development, Work Life Balance"
TCG Lifesciences,4.1,Pharma,"Work Life Balance, Job Security, Company Culture"
Ace Designers,4.0,Industrial Machinery,"Job Security, Work Life Balance, Company Culture"
Treebo Hotels,3.3,Hospitality,"Job Security, Work Satisfaction, Promotions"
VST Industries,3.8,FMCG,Salary
Network 18,3.3,Media & Entertainment,"Promotions, Skill Development, Salary"
Vini Cosmetics,4.1,Beauty & Personal Care,"Salary, Work Life Balance, Company Culture"
Woodenstreet.com,3.4,Furniture & Furnishing,"Promotions, Job Security, Company Culture"
JSW One Platforms,2.9,Internet,"Promotions, Skill Development, Work Satisfaction"
SEIL Energy India,4.1,Power,"Job Security, Work Life Balance, Company Culture"
Harjai Computers,3.1,Recruitment,"Promotions, Job Security, Company Culture"
Satyam Venture Engineering Services,3.3,Auto Components,"Promotions, Salary, Work Satisfaction"
Sunflag Iron and Steel,3.6,Iron & Steel,"Promotions, Work Satisfaction, Salary"
Hilex,3.9,Automobile,"Work Life Balance, Job Security"
Trident Hotels,4.1,Hospitality,"Skill Development, Company Culture, Job Security"
Hilex,3.9,Automobile,"Work Life Balance, Job Security"
PropTiger.com,3.6,Internet,Salary
6D Technologies,2.8,Telecom,"Work Life Balance, Company Culture, Promotions"
N Ranga Rao And Sons,3.8,FMCG,"Company Culture, Work Life Balance"
Awfis,4.4,Real Estate,"Work Life Balance, Salary, Company Culture"
Mahendra’s Institute,3.1,Education & Training,"Salary, Promotions, Company Culture"
Hitachi Hi-Rel Power Electronics,3.6,Electronics Manufacturing,Job Security
Technocon Services,3.2,Engineering & Construction,"Promotions, Salary, Company Culture"
Autocomp Corporation Panse,3.4,Auto Components,"Company Culture, Promotions, Work Satisfaction"
Toshiba JSW Power Systems,4.3,Industrial Machinery,"Work Life Balance, Company Culture, Salary"
Lam Research,3.7,Semiconductors,"Company Culture, Salary"
Syncfusion,3.3,Software Product,Job Security
Descon Engineering,4.0,Engineering & Construction,"Salary, Skill Development, Company Culture"
Ess Kay Fincorp,4.1,NBFC,"Company Culture, Job Security, Skill Development"
Health India Tpa Services,3.1,Insurance,"Promotions, Company Culture, Work Satisfaction"
KaaShiv InfoTech Company,4.8,EdTech,"Company Culture, Work Satisfaction, Skill Development"
Time Technoplast,3.6,Petrochemicals,"Promotions, Salary, Company Culture"
Dimension Data,4.5,IT Services & Consulting,"Work Life Balance, Company Culture, Work Satisfaction"
BLS International Services,3.3,Travel & Tourism,"Promotions, Job Security, Company Culture"
McNROE,4.1,FMCG,"Company Culture, Salary, Work Life Balance"
MSM Unify,4.0,EdTech,"Company Culture, Work Life Balance, Work Satisfaction"
Actalent Services,3.5,Engineering & Construction,Work Life Balance
Zopper,3.2,FinTech,"Job Security, Company Culture, Work Satisfaction"
SMC Corporation,3.8,Medical Equipment,Job Security
Compunnel,3.7,IT Services & Consulting,Promotions
Cognizant Solutions Corp,3.7,IT Services & Consulting,Job Security
Worldline,3.7,FinTech,Work Life Balance
Shaadi.com,3.4,Internet,"Job Security, Promotions, Company Culture"
Modern V.R. Security Force,4.0,Law Enforcement & Security,"Salary, Work Life Balance"
Stefanini,2.8,IT Services & Consulting,"Promotions, Work Satisfaction, Job Security"
RedBus,4.0,Internet,"Job Security, Work Life Balance, Company Culture"
Hindustan Latex Family Planning Promotion Trust,4.2,Healthcare,"Work Life Balance, Company Culture, Work Satisfaction"
Aarti Drugs,3.5,Pharma,"Promotions, Salary, Company Culture"
MapmyIndia,3.4,Software Product,"Promotions, Salary, Company Culture"
Accel IT Services,3.5,IT Services & Consulting,"Promotions, Salary, Skill Development"
EXEDY,3.9,Auto Components,"Work Life Balance, Job Security, Skill Development"
B S R & Co Llp,3.1,Accounting & Auditing,"Work Life Balance, Promotions, Work Satisfaction"
Muthoot Capital Services,3.7,Financial Services,"Promotions, Salary, Job Security"
Birla Cement,4.1,Building Material,"Work Life Balance, Job Security, Company Culture"
Birla Cement,4.1,Building Material,"Work Life Balance, Job Security, Company Culture"
RV Solutions,3.7,IT Services & Consulting,Promotions
Kpmg Resource Centre,3.5,Accounting & Auditing,"Promotions, Salary, Work Satisfaction"
Olectra Greentech,3.8,Automobile,Promotions
Council of Scientific and Industrial Research,4.1,Government,"Work Life Balance, Company Culture, Work Satisfaction"
Hollister Medical,4.1,Medical Equipment,"Company Culture, Work Life Balance, Job Security"
GTPL-KCBPL,4.0,Telecom,"Company Culture, Work Life Balance, Work Satisfaction"
Pegasystems,3.4,Software Product,"Promotions, Work Satisfaction, Job Security"
Mitsubishi Electric Automotive India,4.4,Automobile,"Company Culture, Salary, Work Life Balance"
Ample Technologies,3.8,IT Services & Consulting,"Promotions, Work Satisfaction"
SquadStack.ai,3.7,IT Services & Consulting,"Work Life Balance, Company Culture"
Asti Electronics India,4.1,Auto Components,"Work Life Balance, Company Culture, Job Security"
Orchid Pharma,3.5,Pharma,"Promotions, Salary, Company Culture"
Stellar Innovations,3.4,IT Services & Consulting,"Promotions, Salary, Work Satisfaction"
UNext,2.9,EdTech,"Promotions, Work Satisfaction, Job Security"
Al Tasnim Enterprises,3.6,Engineering & Construction,"Promotions, Company Culture, Work Satisfaction"
Dosti Realty,4.4,Real Estate,"Company Culture, Work Life Balance, Salary"
Allegis Global Solutions,3.3,Recruitment,"Promotions, Work Satisfaction, Salary"
Bal Pharma,3.3,Pharma,"Promotions, Company Culture, Work Satisfaction"
Sekisui Dljm Molding,3.7,Auto Components,"Promotions, Company Culture"
Coditas Technologies,3.7,Emerging Technologies,"Work Life Balance, Skill Development, Company Culture"
Maxxis Rubber,3.5,Auto Components,"Promotions, Company Culture, Work Satisfaction"
Sahayog Multistate Credit Co-operative Society,3.5,Banking,"Salary, Job Security, Promotions"
TestingXperts,3.5,IT Services & Consulting,"Promotions, Work Satisfaction, Skill Development"
Hindustan Syringes & Medical Devices,4.1,Medical Equipment,"Job Security, Work Life Balance, Salary"
Moser Baer,4.1,Consumer Electronics & Appliances,"Work Life Balance, Work Satisfaction, Skill Development"
EPIQ Systems,3.4,Legal,"Job Security, Promotions, Skill Development"
Zf Wind Power,3.9,Coimbatore +8 other locations,"Job Security, Company Culture"
Cedcoss Technologies,3.0,IT Services & Consulting,"Job Security, Company Culture, Work Satisfaction"
CityMall,3.2,Internet,"Job Security, Promotions, Company Culture"
Adglobal360,3.3,Gurugram +13 other locations,"Promotions, Salary, Skill Development"
Trane Technologies,3.8,Industrial Machinery,"Company Culture, Work Life Balance"
Johnson Controls Hitachi Air Conditioning,3.8,Consumer Electronics & Appliances,Salary
Ceat Specialty Tyres,3.9,Auto Components,"Job Security, Company Culture, Skill Development"
Hindustan Urvarak & Rasayan,3.3,Agro Chemicals,Job Security
Tata Digital,2.3,IT Services & Consulting,"Promotions, Company Culture, Work Satisfaction"
SOPAN,4.0,Industrial Machinery,"Job Security, Work Life Balance, Work Satisfaction"
The Park Hotels,3.9,Hospitality,Job Security
Jay Chemical Industries,4.0,Chemicals,"Work Life Balance, Company Culture, Work Satisfaction"
Godrej Infotech,3.6,IT Services & Consulting,"Job Security, Work Life Balance"
Transguard Group,3.8,Law Enforcement & Security,"Promotions, Company Culture, Work Satisfaction"
Deenanath Mangeshkar Hospital,3.9,Healthcare,"Job Security, Skill Development"
The Park Hotels,3.9,Hospitality,Job Security
Jay Chemical Industries,4.0,Chemicals,"Work Life Balance, Company Culture, Work Satisfaction"
Savista Global Solutions,4.1,Analytics & KPO,"Company Culture, Work Life Balance, Work Satisfaction"
Satguru Travels and Tour Services,2.8,Travel & Tourism,"Company Culture, Promotions, Work Satisfaction"
Adient,3.9,Auto Components,"Company Culture, Work Life Balance, Job Security"
VIKRAN Engineering & Exim,4.0,Engineering & Construction,"Job Security, Salary, Company Culture"
Godrej Infotech,3.6,IT Services & Consulting,"Job Security, Work Life Balance"
Kraft Heinz,2.9,FMCG,"Promotions, Skill Development, Work Satisfaction"
ITSource Technologies,2.9,IT Services & Consulting,"Promotions, Salary, Company Culture"
Hyundai Engineering and Construction,4.2,Engineering & Construction,"Salary, Work Satisfaction, Skill Development"
Teachnook,2.8,EdTech,"Salary, Work Life Balance, Job Security"
JUNIPER GREEN ENERGY,4.6,Power,"Job Security, Salary, Company Culture"
Paperchase Accountancy,2.9,Accounting & Auditing,"Promotions, Salary, Work Satisfaction"
Eaton India Innovation Center,3.7,Engineering & Construction,"Job Security, Salary"
Roquette Riddhi Siddhi,3.9,Pharma,"Company Culture, Work Life Balance, Work Satisfaction"
AVL,3.5,Automobile,"Promotions, Company Culture, Work Satisfaction"
Windlas Biotech,3.9,Pharma,"Work Life Balance, Salary"
Kushal's Fashion Jewellery,4.2,Jewellery,"Job Security, Skill Development, Company Culture"
NCCCL,3.5,Engineering & Construction,"Promotions, Salary, Company Culture"
ACB (India),3.8,Oil & Gas,"Job Security, Work Life Balance"
Padmini VNA Mechatronics,4.0,Auto Components,"Work Life Balance, Skill Development, Salary"
Cotmac Electronics,3.6,Industrial Automation,"Promotions, Work Life Balance, Salary"
Ryan International School,3.3,Education & Training,"Promotions, Company Culture, Work Satisfaction"
Advanced Micro Devices,3.6,Semiconductors,"Promotions, Work Satisfaction, Job Security"
CR3 Group,3.8,Facility Management Services,Promotions
Lion Engineering Consultants,3.4,Engineering & Construction,"Promotions, Salary, Company Culture"
Hartek Group,4.1,Engineering & Construction,"Salary, Company Culture, Work Life Balance"
Audi,3.8,Automobile,"Promotions, Salary"
Nabard Financial Services,4.0,NBFC,"Salary, Work Life Balance, Company Culture"
Yamaha Motor India Sales,4.0,Automobile,"Work Life Balance, Job Security"
People Group,3.4,Internet,"Promotions, Job Security, Work Satisfaction"
Yalamanchili Software Exports,2.8,Software Product,"Promotions, Salary, Company Culture"
Enterprise Growth Accelerator,3.5,Analytics & KPO,"Job Security, Promotions, Skill Development"
GGS Information Services,3.8,IT Services & Consulting,"Work Life Balance, Company Culture, Work Satisfaction"
Ssipl Lifestyle,3.9,Retail,"Skill Development, Work Satisfaction, Salary"
Futurense Technologies,3.9,EdTech,"Salary, Company Culture, Work Satisfaction"
Avineon India,4.0,IT Services & Consulting,"Company Culture, Job Security, Work Life Balance"
Prem Motors,3.7,Automobile,"Promotions, Salary"
Futurense Technologies,3.9,EdTech,"Salary, Company Culture, Work Satisfaction"
Zydex Industries,3.6,Chemicals,Company Culture
Suzuki,3.9,Automobile,"Job Security, Company Culture, Work Satisfaction"
Netcore Pvt. Ltd.,4.1,Marketing & Advertising,"Job Security, Company Culture, Work Life Balance"
Clarus Rcm Infotech,2.7,BPO,"Job Security, Company Culture, Work Life Balance"
Irclass Systems And Solutions,4.2,Ports & Shipping,"Work Life Balance, Company Culture, Work Satisfaction"
Protiviti India Member,2.7,Management Consulting,"Promotions, Work Satisfaction, Skill Development"
Kama Jewelry,4.7,Jewellery,"Company Culture, Job Security, Skill Development"
Telstra,3.9,Telecom,"Work Life Balance, Company Culture, Salary"
Kimberly-Clark,3.8,Beauty & Personal Care,"Salary, Work Life Balance"
Red Health,3.4,Healthcare,"Job Security, Promotions, Work Life Balance"
Multiplier Brand Solutions,3.7,Marketing & Advertising,Work Life Balance
Carraro,3.9,Industrial Machinery,"Job Security, Work Life Balance"
Mahindra Teqo,4.0,Software Product,"Skill Development, Company Culture, Job Security"
MJ Biopharm,3.5,Pharma,"Promotions, Work Satisfaction, Company Culture"
Wipro GE Health Care,4.0,IT Services & Consulting,"Company Culture, Job Security, Work Satisfaction"
MUFG Bank,3.5,Banking,"Promotions, Skill Development, Work Satisfaction"
Ben Franklin Opticians,3.9,Retail,"Work Life Balance, Work Satisfaction"
Cygnet Infotech,3.5,IT Services & Consulting,"Promotions, Job Security, Skill Development"
Unique Identification Authority of India,3.7,IT Services & Consulting,"Promotions, Job Security, Salary"
Cygnet Infotech,3.5,IT Services & Consulting,"Promotions, Job Security, Skill Development"
Akumentis Healthcare,3.6,Healthcare,"Promotions, Skill Development, Salary"
Control Print,4.0,Industrial Machinery,"Job Security, Company Culture, Skill Development"
AVASOFT,2.3,Software Product,"Job Security, Work Life Balance, Company Culture"
Globtier Infotech Limited,3.2,IT Services & Consulting,"Promotions, Salary, Skill Development"
Listenlights,3.8,Engineering & Construction,Salary
Fidelis Technology Services,3.5,IT Services & Consulting,"Promotions, Salary, Company Culture"
Jms Mining Services,3.9,Metals & Mining,"Job Security, Salary"
Yara Fertilisers,3.9,Agro Chemicals,"Salary, Work Life Balance"
National Highways Authority of India,3.9,Engineering & Construction,"Work Satisfaction, Skill Development"
Ircon International,3.9,Engineering & Construction,"Work Satisfaction, Skill Development, Salary"
Senvion,4.0,Power,"Work Life Balance, Job Security, Company Culture"
Himadri Speciality Chemical Limited,3.5,Chemicals,"Promotions, Work Satisfaction, Skill Development"
Infocepts Technologies,3.6,IT Services & Consulting,"Job Security, Promotions, Salary"
HBL Global,4.2,NBFC,"Job Security, Work Satisfaction, Company Culture"
Tata Toyo Radiator,,Auto Components,"Job Security, Skill Development"
Watchyourhealth.com,4.5,Emerging Technologies,"Work Life Balance, Skill Development, Company Culture"
DotPe,3.1,IT Services & Consulting,"Job Security, Promotions, Work Satisfaction"
NXP Semiconductors,3.6,Semiconductors,"Promotions, Job Security, Work Satisfaction"
International Game Technology,3.3,Gaming,"Promotions, Salary, Work Satisfaction"
Oceaneering International,3.9,Oil & Gas,"Work Life Balance, Job Security, Company Culture"
Vascon Engineers,3.7,Real Estate,Job Security
Vatika Group,4.1,Hospitality,"Work Life Balance, Job Security, Company Culture"
Park Plus,2.7,Internet,"Job Security, Promotions, Company Culture"
DEN Networks,3.9,Broadcasting,"Work Life Balance, Company Culture, Work Satisfaction"
M K Agrotech Private Limited,4.4,Food Processing,"Company Culture, Work Life Balance, Work Satisfaction"
Festo,3.8,Industrial Automation,"Work Life Balance, Job Security"
Dentsu Aegis Network,3.2,Marketing & Advertising,"Promotions, Skill Development, Work Satisfaction"
ILJIN ELECTRONICS,3.8,Semiconductors,Skill Development
Adama,4.1,Agro Chemicals,"Work Life Balance, Company Culture, Work Satisfaction"
Avantor,3.6,Pharma,Work Life Balance
Rashtriya Chemicals and Fertilizers,4.4,Agro Chemicals,"Work Life Balance, Job Security, Company Culture"
Medall Healthcare,3.6,Healthcare,"Promotions, Job Security"
eMudhra,3.3,Software Product,"Job Security, Promotions, Work Satisfaction"
Khimji Ramdas,3.7,Retail,Job Security
Bristol-Myers Squibb,3.5,Pharma,"Promotions, Work Satisfaction, Job Security"
Plasser India,4.0,Industrial Machinery,"Job Security, Work Life Balance, Salary"
Zoomcar,3.6,Internet,"Job Security, Company Culture, Promotions"
Kyndal India,3.5,Beverage,"Promotions, Salary, Work Satisfaction"
Theme Engineering Services,3.8,Engineering & Construction,"Promotions, Job Security"
eMudhra,3.3,Software Product,"Job Security, Promotions, Work Satisfaction"
Aegis Logistics,3.6,Oil & Gas,Job Security
Darwinbox,3.1,Software Product,"Work Life Balance, Promotions, Work Satisfaction"
Vijay Nirman Company,3.8,Engineering & Construction,"Promotions, Salary, Job Security"
Can Fin Homes,2.7,NBFC,"Company Culture, Work Satisfaction, Work Life Balance"
Inventys Research,4.3,Chemicals,"Skill Development, Company Culture, Work Life Balance"
CESC,3.8,Power,"Job Security, Work Life Balance"
Bain & Company,3.7,Management Consulting,Company Culture
Polyhose,3.8,Industrial Machinery,"Promotions, Salary"
Taco Bell,4.0,Hospitality,"Skill Development, Salary, Company Culture"
o9 Solutions,3.4,Software Product,"Work Satisfaction, Work Life Balance, Promotions"
Udaan India - The Original Visa Company,4.3,Bengaluru +79 other locations,"Skill Development, Company Culture, Work Satisfaction"
Pharmed,4.7,Pharma,"Company Culture, Skill Development, Work Satisfaction"
Indchemie Health Specialities,3.8,Pharma,"Skill Development, Work Satisfaction, Promotions"
TMEIC,3.8,Industrial Automation,"Job Security, Work Life Balance"
Mars,3.9,Food Processing,"Salary, Work Life Balance"
Lido Learning,2.2,EdTech,"Job Security, Promotions, Company Culture"
Adarsh Credit Co-Operative Society,4.4,Investment Banking / Venture Capital / Private Equity,"Promotions, Salary, Work Satisfaction"
Zet Town,3.5,Electronics Manufacturing,"Job Security, Promotions, Company Culture"
e-Zest,3.9,IT Services & Consulting,"Work Life Balance, Company Culture"
Motilal Oswal Asset Management Company,4.3,Financial Services,"Work Life Balance, Company Culture, Job Security"
Mars,3.9,Food Processing,"Salary, Work Life Balance"
TMEIC,3.8,Industrial Automation,"Job Security, Work Life Balance"
Tamilnad Mercantile Bank,2.5,Banking,"Company Culture, Work Life Balance, Work Satisfaction"
ICRA Analytics,3.0,Analytics & KPO,"Promotions, Skill Development, Salary"
KLJ GROUP,3.3,Petrochemicals,"Company Culture, Promotions, Work Satisfaction"
Valvoline Cummins,4.0,Auto Components,"Work Life Balance, Company Culture, Job Security"
Bharat IT Services,3.6,IT Services & Consulting,"Promotions, Job Security, Salary"
L&T Defence,3.8,Defence & Aerospace,"Work Life Balance, Job Security, Skill Development"
Mahindra Insurance Brokers,3.3,Insurance,"Promotions, Work Satisfaction, Job Security"
Newt Global,4.4,IT Services & Consulting,"Skill Development, Work Satisfaction, Company Culture"
Holcim,3.6,Building Material,"Promotions, Work Satisfaction, Salary"
Corizo,3.4,Education & Training,"Job Security, Salary, Work Life Balance"
NIKE,3.9,Retail,"Work Life Balance, Company Culture, Salary"
Zuari Cement,4.3,Building Material,"Work Life Balance, Job Security, Company Culture"
Jumio,3.9,Emerging Technologies,"Salary, Work Life Balance"
Gyproc,3.8,Mumbai +40 other locations,"Job Security, Company Culture, Skill Development"
Patil Group,3.5,Railways,"Promotions, Company Culture, Work Satisfaction"
Volvo Trucks,4.1,Automobile,"Job Security, Company Culture, Work Life Balance"
Shiash Info Solutions,3.0,IT Services & Consulting,"Salary, Promotions, Job Security"
MYCPE ONE,3.8,Ahmedabad +24 other locations,"Salary, Skill Development"
Renewsys India,3.7,Power,Promotions
Bluechip Corporate Investment Centre,3.8,Accounting & Auditing,Promotions
Outpace Consulting Services,4.6,Lucknow +18 other locations,"Work Life Balance, Skill Development, Company Culture"
Gtpl Broadband,3.9,Telecom,"Company Culture, Work Life Balance, Job Security"
Walplast Products Pvt Ltd,4.0,Building Material,"Company Culture, Work Life Balance, Salary"
Aptean,3.0,Software Product,"Job Security, Promotions, Work Satisfaction"
Zee Laboratories,3.6,Pharma,Job Security
Vem Technologies,3.7,Defence & Aerospace,"Job Security, Skill Development"
ESAB,3.9,Industrial Machinery,"Work Life Balance, Job Security"
Aditya Birla Memorial Hospital,4.5,Healthcare,"Company Culture, Job Security, Skill Development"
Integrated Wireless Solutions,3.9,Telecom,"Promotions, Job Security, Company Culture"
Groz Engineering Tools,4.1,Industrial Machinery,"Company Culture, Work Life Balance, Job Security"
Aurigene Pharmaceutical Services,4.1,Pharma,"Company Culture, Work Life Balance, Work Satisfaction"
IIT Bombay,4.4,Education & Training,"Company Culture, Work Life Balance, Work Satisfaction"
Turing,3.0,Analytics & KPO,"Job Security, Promotions, Skill Development"
Kalyani Motors,3.4,Automobile,"Promotions, Salary, Company Culture"
Pps Motors,3.8,Automobile,"Work Life Balance, Salary"
Fluper,3.8,IT Services & Consulting,"Skill Development, Company Culture, Work Life Balance"
Rushil Decor,4.0,Building Material,"Work Life Balance, Job Security, Salary"
CKA Birla Group,3.8,Building Material,"Work Life Balance, Company Culture, Job Security"
Clariant Chemicals,4.1,Chemicals,"Company Culture, Work Life Balance, Job Security"
Hical Technologies,3.6,Auto Components,"Promotions, Salary, Work Life Balance"
